RK;PLAYER;TEAM;Sueldo1920;Sueldo2021;Sueldo2122;Sueldo2223
1;Stephen Curry;Golden State Warriors;40231;43006;45780;48070
2;Chris Paul;Oklahoma City Thunder;38506;41358;30000;28400
3;Russell Westbrook;Houston Rockets;38506;41358;44211;0
4;Kevin Durant;Phoenix Suns;38199;40108;42018;44119
5;James Harden;Houston Rockets;38199;41254;44310;33000
6;John Wall;Houston Rockets;38199;41254;44310;0
7;LeBron James;Los Angeles Lakers;37436;39219;41180;44474
8;Kyle Lowry;Toronto Raptors;34996;30500;26894;28333
9;Blake Griffin;Detroit Pistons;34449;0;0;0
10;Tobias Harris;Philadelphia 76ers;32742;34358;35995;37633
11;Jimmy Butler;Miami Heat;32742;34379;36016;37653
12;Kawhi Leonard;LA Clippers;32742;34379;39344;42492
13;Klay Thompson;Golden State Warriors;32742;35361;37980;40600
14;Kemba Walker;Boston Celtics;32742;34379;0;0
15;Gordon Hayward;Boston Celtics;32700;28500;29925;30075
16;Mike Conley;Utah Jazz;32511;34502;21000;22680
17;Kyrie Irving;Brooklyn Nets;31742;31742;35328;38917
18;Khris Middleton;Milwaukee Bucks;30603;33051;35500;37948
19;Paul George;LA Clippers;30560;35450;39344;42492
20;Paul Millsap;Denver Nuggets;30350;0;0;0
21;Damian Lillard;Portland Trail Blazers;29802;31626;39344;42492
22;Kevin Love;Cleveland Cavaliers;28942;31258;31258;0
23;Nikola Vucevic;Orlando Magic;28000;26000;24000;22000
24;Al Horford;Philadelphia 76ers;28000;27500;27000;26500
25;DeMar DeRozan;San Antonio Spurs;27739;27739;26000;27300
26;CJ McCollum;Portland Trail Blazers;27556;29354;30864;33333
27;Joel Embiid;Philadelphia 76ers;27504;29542;31579;33616
28;Andrew Wiggins;Golden State Warriors;27504;29542;31579;33616
29;Nikola Jokic;Denver Nuggets;27504;29542;31579;33047
30;Kristaps Porzingis;Dallas Mavericks;27285;29467;31650;33833
31;Devin Booker;Phoenix Suns;27285;29467;31650;33833
32;Karl-Anthony Towns;Minnesota Timberwolves;27285;29467;31650;33833
33;D'Angelo Russell;Minnesota Timberwolves;27285;28649;30013;31377
34;Otto Porter Jr.;Chicago Bulls;27250;28489;0;0
35;Bradley Beal;Washington Wizards;27093;28751;33724;43279
36;Andre Drummond;Cleveland Cavaliers;27093;0;0;0
37;Anthony Davis;Los Angeles Lakers;27093;32742;35361;37980
38;Hassan Whiteside;Portland Trail Blazers;27093;0;0;0
39;Jrue Holiday;New Orleans Pelicans;26231;26231;32413;33665
40;LaMarcus Aldridge;San Antonio Spurs;26000;24000;0;0
41;Steven Adams;Oklahoma City Thunder;25842;29592;17073;17926
42;Giannis Antetokounmpo;Milwaukee Bucks;25842;27528;39344;42492
43;Marc Gasol;Toronto Raptors;25595;0;0;0
44;Nicolas Batum;Charlotte Hornets;25565;0;0;0
45;Chandler Parson;Atlanta Hawks;25102;25102;0;0
46;Harrison Barnes;Sacramento Kings;24147;22215;20284;18352
47;Serge Ibaka;Toronto Raptors;23271;0;0;0
48;Rudy Gobert;Utah Jazz;23241;27525;35344;38172
49;Danilo Gallinari;Oklahoma City Thunder;22615;19500;20475;0
50;Victor Oladipo;Indiana Pacers;21000;21000;0;0
51;Tim Hardaway Jr.;Dallas Mavericks;20025;18975;21308;19602
52;Malcolm Brogdon;Indiana Pacers;20000;20700;21700;22600
53;Terry Rozier;Charlotte Hornets;19894;18900;17905;21486
54;Aaron Gordon;Orlando Magic;19863;18136;16409;19690
55;Zach LaVine;Chicago Bulls;19500;19500;19500;37096
56;Kent Bazemore;Sacramento Kings;19269;0;0;0
57;Goran Dragic;Miami Heat;19217;18000;0;0
58;Jeff Teague;Atlanta Hawks;19000;0;0;0
59;Evan Turner;Atlanta Hawks;18606;0;0;0
60;Draymond Green;Golden State Warriors;18539;22246;24026;25806
61;Tristan Thompson;Cleveland Cavaliers;18539;0;0;0
62;Allen Crabbe;Minnesota Timberwolves;18500;18500;0;0
63;Julius Randle;New York Knicks;18000;18900;21780;23760
64;Myles Turner;Indiana Pacers;18000;18000;18000;35096
65;Gary Harris;Denver Nuggets;17839;19610;20482;13000
66;Derrick Favors;New Orleans Pelicans;17650;0;0;0
67;Andre Iguodala;Miami Heat;17185;15000;0;0
68;Evan Fournier;Orlando Magic;17150;17150;17000;18000
69;Bismack Biyombo;Charlotte Hornets;17000;0;0;0
70;Bojan Bogdanovic;Utah Jazz;17000;17850;18700;19550
71;Timofey Mozgov;Orlando Magic;16720;16720;0;0
72;Gorgui Dieng;Memphis Grizzlies;16229;0;0;0
73;Ricky Rubio;Phoenix Suns;16200;17000;17800;0
74;Jonas Valanciunas;Memphis Grizzlies;16000;15000;14000;14700
75;Brandon Knight;Detroit Pistons;15643;0;0;0
76;Kelly Oubre Jr.;Phoenix Suns;15625;14375;12000;12600
77;Eric Bledsoe;Milwaukee Bucks;15625;16875;18125;19375
78;Dennis Schroder;Oklahoma City Thunder;15500;16000;0;0
79;Ian Mahinmi;Washington Wizards;15450;0;0;0
80;James Johnson;Minnesota Timberwolves;15349;16047;0;0
81;Bobby Portis;New York Knicks;15000;0;0;0
82;Marcus Morris Sr;LA Clippers;15000;14888;15627;16372
83;Clint Capela;Houston Rockets;14896;16000;18603;18706
84;Luke Babbitt;Miami Heat;14651;14651;0;0
85;Danny Green;Los Angeles Lakers;14634;15365;0;0
86;Rudy Gay;San Antonio Spurs;14500;14500;0;0
87;Cody Zeller;Charlotte Hornets;14471;15415;0;0
88;Eric Gordon;Houston Rockets;14057;16869;18218;19568
89;Mason Plumlee;Denver Nuggets;14041;0;0;0
90;Marcin Gortat;LA Clippers;13565;13565;0;0
91;JJ Redick;New Orleans Pelicans;13486;13013;0;0
92;Jordan Clarkson;Utah Jazz;13437;11500;12420;13340
93;Dewayne Dedmon;Atlanta Hawks;13333;0;0;0
94;Jusuf Nurkic;Portland Trail Blazers;13125;12888;12000;15625
95;Justise Winslow;Miami Heat;13000;13000;0;0
96;Thaddeus Young;Chicago Bulls;12900;13545;14190;0
97;Will Barton;Denver Nuggets;12776;13723;15625;0
98;Courtney Lee;Dallas Mavericks;12759;12759;0;0
99;Solomon Hill;Miami Heat;12758;0;0;0
100;Larry Nance Jr;Cleveland Cavaliers;12727;11709;10690;0
101;Kelly Olynyk;Miami Heat;12667;12598;12195;12195
102;Marcus Smart;Boston Celtics;12553;13446;14339;17207
103;Miles Plumlee;Memphis Grizzlies;12500;12500;0;0
104;Terrence Ross;Orlando Magic;12500;13500;12500;0
105;Nikola Mirotic;Milwaukee Bucks;12500;12500;0;0
106;Patty Mills;San Antonio Spurs;12428;13535;0;0
107;Tyreke Evans;Indiana Pacers;12400;12400;0;0
108;Patrick Beverley;LA Clippers;12345;13333;14320;0
109;Trevor Ariza;Portland Trail Blazers;12195;12800;0;0
110;Brook Lopez;Milwaukee Bucks;12093;12697;13302;13906
111;Cory Joseph;Sacramento Kings;12000;12600;0;0
112;Joe Ingles;Utah Jazz;11954;0;13036;0
113;Zach Randolph;Dallas Mavericks;11692;11692;0;0
114;Tony Snell;Detroit Pistons;11392;12178;0;0
115;Robert Covington;Houston Rockets;11301;12138;12975;12307
116;Meyers Leonard;Miami Heat;11286;0;0;0
117;Omer Asik;Chicago Bulls;11286;11286;0;0
118;Maurice Harkles;New York Knicks;11011;0;0;0
119;T.J. Warren;Indiana Pacers;10810;12500;12690;0
120;Andre Roberson;Oklahoma City Thunder;10740;0;0;0
